id,status,origin,area,concept_id,daily_id,type,difficulty,question,option1,option2,option3,option4,answer,step1_core,step2_detail,step3_trap,option_reason1,option_reason2,option_reason3,option_reason4,source_refs,memory_hook,legacy_daily_id,active_daily_id,learning_pool,fact_id
QRC1-001,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-01,D38,분류형,2,감독기준상 자산건전성의 기본 5단계 분류 순서로 옳은 것은?,정상 → 요주의 → 고정 → 회수의문 → 추정손실,정상 → 주의 → 고정 → 부실 → 추정손실,정상 → 고정 → 요주의 → 회수의문 → 추정손실,정상 → 요주의 → 회수의문 → 고정 → 추정손실,1,기본 분류는 정상·요주의·고정·회수의문·추정손실의 5단계입니다.,"감독기준 제13조는 보유자산의 건전성을 이 5단계로 나누도록 합니다. 이후 연체기간, 회수예상가액, 담보·보증 등 조건에 따라 각 단계가 결정됩니다.","“요주의”와 “고정”, “고정”과 “회수의문”의 순서를 바꾸는 선택지가 대표적인 함정입니다.",정답: 감독기준의 공식 5단계 순서입니다.,"오답: “주의”, “부실”은 해당 5단계의 공식 명칭이 아닙니다.",오답: 고정은 요주의보다 악화된 단계입니다.,오답: 회수의문은 고정보다 악화된 단계입니다.,새마을금고 감독기준 제13조 (자산건전성 분류기준),정-요-고-회-추,D38,D03,FOCUS,
QRC1-002,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-01,D38,주기형,2,자산건전성 분류의 기본 주기는?,사업연도 말,매 분기 말,반기 말,매월 말,2,정답: 매 분기 말,"새마을금고 감독기준 제13조 (자산건전성 분류기준) 기준: 자산건전성 분류는 원칙적으로 매 분기 말 기준이며, 유가증권 평가는 매월 1회 정기적으로 실시합니다.",조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「매 분기 말」입니다.,"정답: 자산건전성 분류는 원칙적으로 매 분기 말 기준이며, 유가증권 평가는 매월 1회 정기적으로 실시합니다.",오답: 공식자료의 기준은 「매 분기 말」입니다.,오답: 공식자료의 기준은 「매 분기 말」입니다.,새마을금고 감독기준 제13조 (자산건전성 분류기준),매 분기 말,D38,D03,QUICK,
QRC1-003,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-01,D38,예외형,2,유가증권 자산건전성 분류에서 사용하지 않는 단계는?,정상,요주의,고정,회수의문,3,정답: 고정,새마을금고 감독기준 제13조 (자산건전성 분류기준) 기준: 유가증권의 자산건전성 분류에서는 고정 단계를 사용하지 않습니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「고정」입니다.,오답: 공식자료의 기준은 「고정」입니다.,정답: 유가증권의 자산건전성 분류에서는 고정 단계를 사용하지 않습니다.,오답: 공식자료의 기준은 「고정」입니다.,새마을금고 감독기준 제13조 (자산건전성 분류기준),고정,D38,D03,FOCUS,
QRC1-004,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-01,D38,예외형,3,여신성가지급금을 제외한 일반 가지급금의 자산건전성 분류에서 제외되는 단계는?,정상·요주의,회수의문·추정손실,정상·추정손실,요주의·고정,4,일반 가지급금은 “요주의”와 “고정” 분류를 제외합니다.,감독기준 제13조는 유가증권과 가지급금에 대해 각각 다른 분류 예외를 둡니다. 여신성가지급금을 제외한 가지급금은 요주의와 고정을 사용하지 않습니다.,유가증권의 예외(고정 제외)와 가지급금의 예외(요주의·고정 제외)를 서로 바꾸어 출제하기 쉽습니다.,오답입니다.,오답입니다.,오답입니다.,정답입니다.,새마을금고 감독기준 제13조 (자산건전성 분류기준),유가=고정X / 일반가지급=요주의·고정X,D38,D03,FOCUS,
QRC1-005,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-01,D38,기간형,2,상환능력이 충분한 채무자의 20일 연체 대출 기본 분류는?,정상,회수의문,고정,요주의,1,1개월 미만 연체이면서 채무상환능력이 충분하면 정상 분류 예시에 해당합니다.,"별표 2는 금융거래 내용과 신용상태가 양호하고, 1개월 미만 연체가 있더라도 상환능력이 충분한 채무자의 총대출금을 정상으로 봅니다.",“연체가 하루라도 있으면 요주의”라고 단정하면 안 됩니다. 1개월 미만이라는 경계와 상환능력을 함께 봅니다.,정답입니다.,오답: 회수의문은 더 악화된 상태입니다.,오답: 고정은 더 악화된 상태입니다.,오답: 기본 예시상 1개월 이상 3개월 미만이 요주의 구간입니다.,감독기준 [별표 2] 자산건전성 분류기준,1개월 미만 + 상환능력 충분 = 정상,D38,D03,QUICK,
QRC1-006,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-01,D38,기간형,2,회수가 확실시되는 일반 대출이 2개월 연체된 경우 별표 2의 기본 예시에 따른 분류는?,추정손실,요주의,정상,고정,2,1개월 이상 3개월 미만 연체는 요주의의 대표 예시입니다.,별표 2는 1개월 이상 3개월 미만 연체대출을 보유하되 회수가 확실시되는 채무자의 총대출금을 요주의 예시로 둡니다.,3개월 경계를 넘기기 전과 후를 구별해야 합니다.,오답입니다.,정답입니다.,오답: 1개월 이상입니다.,오답: 고정은 일반적으로 3개월 이상 연체와 회수예상가액 해당 금액이 핵심입니다.,감독기준 [별표 2] 자산건전성 분류기준,1~3개월 미만 = 요주의,D38,D03,FOCUS,
QRC1-007,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-01,D38,사례형,3,3개월 이상 연체된 채무자의 총대출금 중 담보 회수예상가액에 해당하는 부분의 기본 분류는?,정상,회수의문,고정,요주의,3,3개월 이상 연체된 총대출금 중 회수예상가액 해당 금액은 “고정”의 대표 예시입니다.,고정은 신용상태가 불량하여 구체적인 회수조치가 필요하지만 담보 등으로 회수예상가액이 존재하는 부분을 중심으로 이해하면 좋습니다.,같은 3개월 이상 연체라도 회수예상가액 “해당 부분”과 “초과 부분”을 나누어 묻는 문제가 나올 수 있습니다.,오답입니다.,오답: 회수의문은 회수예상가액을 초과하는 부분 등 더 악화된 경우와 연결됩니다.,정답입니다.,오답입니다.,감독기준 [별표 2] 자산건전성 분류기준,3개월+ / 회수예상가액 안 = 고정,D38,D03,FOCUS,
QRC1-008,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-02,D39,연체기산형,2,감독기준상 연체대출금의 자산건전성 분류는 어떤 시점을 기준으로 하는가?,결산일 직전 영업일,최근 이자납입일,담보평가일,최초의 연체기산일,4,연체대출금은 최초의 연체기산일을 기준으로 분류합니다.,여러 차례 연체가 누적되더라도 분류의 출발점은 최초 연체기산일입니다. 연체기간 계산 문제에서는 이 기준이 핵심입니다.,최근 납입일이나 담보평가일을 연체기산일과 혼동하지 않아야 합니다.,오답입니다.,오답입니다.,오답: 담보평가일은 회수예상가액과 관련될 수 있으나 연체기산 기준은 아닙니다.,정답입니다.,새마을금고 감독기준 제14조 (연체대출금),연체는 “최초”부터,D39,D03,FOCUS,
QRC1-009,CONTENT_QA_PASS_RC1,GOLD_RC1,건전성·경영실태평가,PRU-02,D39,예외형,3,최종담보평가액을 회수예상가액으로 볼 수 없는 경우는?,담보의 최종감정일이 5년 이내이면 언제나 가능한 경우,담보의 최종감정일이 2년 이내인 일정 담보의 경우,3개월 이내에 법적절차 착수예정인 경우,고정이하 분류사유 발생일이 3개월 이내인 경우,1,최종감정일 5년 이내라는 일반 예외는 없습니다.,"감독기준 제15조는 3개월 이내 사유·법적절차 예정, 일정 담보의 2년 이내 평가, 담보비율 150% 이상 등 구체적인 예외를 둡니다.",숫자 3개월·2년·150%가 서로 바뀌기 쉬운 함정입니다.,정답: 5년 일반기준은 규정되어 있지 않습니다.,해당합니다.,해당합니다.,해당합니다.,새마을금고 감독기준 제15조 (회수예상가액 산정),3개월 / 2년 / 150%,D39,D03,FOCUS,
QRC1-010,RELEASE_READY_V09,SOURCE_REDESIGN_V09,건전성·경영실태평가,PRU-01,D38,사후관리형,2,고정이하 분류자산의 사후조치로 맞는 것은?,회원에게 양도,결산 때만 확인,명세표 작성·비치 + 조기 정상화,즉시 전액 상각,3,정답: 명세표 작성·비치 + 조기 정상화,새마을금고 감독기준 제16조 (자산의 사후관리) 기준: 고정이하 분류자산은 별표 7 명세표를 작성·비치하고 조기 정상화 방안을 강구합니다.,조문 번호보다 숫자·기간·비율·공식 주체·핵심용어를 구분하세요.,오답: 공식자료의 기준은 「명세표 작성·비치 + 조기 정상화」입니다.,오답: 공식자료의 기준은 「명세표 작성·비치 + 조기 정상화」입니다.,정답: 고정이하 분류자산은 별표 7 명세표를 작성·비치하고 조기 정상화 방안을 강구합니다.,오답: 공식자료의 기준은 「명세표 작성·비치 + 조기 정상화」입니다.,새마을금고 감독기준 제16조 (자산의 사후관리),명세표 작성·비치 + 조기 정상화,D38,D03,FOCUS,
