id,status,origin,concept_id,daily_id,type,difficulty,question,option1,option2,option3,option4,answer,step1_core,step2_detail,step3_trap,source_refs,memory_hook,fact_id
QDBR-001,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,채무상환능력이 충분한 채무자의 대출이 20일 연체되었다. 기본 분류로 가장 적절한 것은?,요주의,회수의문,정상,고정,3,1개월 미만 + 상환능력 충분 = 정상,근거 사실 F001를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,1개월 미만 + 상환능력 충분 = 정상,F001
QDBR-002,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,회수가 확실시되는 대출이 2개월 연체된 경우 기본 분류는?,고정,추정손실,정상,요주의,4,1개월 이상 3개월 미만 = 요주의,근거 사실 F002를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,1개월 이상 3개월 미만 = 요주의,F002
QDBR-003,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,3개월 이상 연체된 채무자의 총대출금 중 담보 회수예상가액에 해당하는 부분은?,고정,회수의문,요주의,추정손실,1,3개월+ 회수예상가액 안 = 고정,근거 사실 F003를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,3개월+ 회수예상가액 안 = 고정,F003
QDBR-004,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,8개월 연체대출의 회수예상가액 초과부분 기본 분류는?,고정,회수의문,요주의,추정손실,2,3~12개월 미만 초과부분 = 회수의문,근거 사실 F004를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,3~12개월 미만 초과부분 = 회수의문,F004
QDBR-005,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,14개월 연체대출의 회수예상가액 초과부분 기본 분류는?,요주의,고정,추정손실,회수의문,3,12개월+ 초과부분 = 추정손실,근거 사실 F005를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,12개월+ 초과부분 = 추정손실,F005
QDBR-006,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,유가증권 평가액이 장부가액을 4개월 연속 하회했다. 해당 평가 상당액의 분류로 적절한 것은?,고정,추정손실,정상,요주의,4,3개월+ 하회 = 요주의,근거 사실 F006를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,3개월+ 하회 = 요주의,F006
QDBR-007,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,유가증권 평가액이 장부가액을 7개월 연속 하회하여 평가손실이 발생했다. 평가손실액 분류는?,추정손실,요주의,고정,회수의문,1,6개월+ 평가손실 = 추정손실,근거 사실 F007를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,6개월+ 평가손실 = 추정손실,F007
QDBR-008,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,지급일부터 20일이 지난 미수채권의 기본 분류는?,고정,정상,요주의,회수의문,2,1개월 미경과 미수 = 정상,근거 사실 F008를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,1개월 미경과 미수 = 정상,F008
QDBR-009,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-01,RESERVE,사례·적용형,4,지급일부터 2개월이 지난 미수채권의 기본 분류는?,정상,고정,요주의,추정손실,3,1~3개월 미수 = 요주의,근거 사실 F009를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 2 자산건전성 분류기준,1~3개월 미수 = 요주의,F009
QDBR-010,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,정상 분류채권 3억원의 대손충당금 필요적립액 최소치는?,300만원,3천만원,6천만원,150만원,1,정상 1% 이상,근거 사실 F010를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,정상 1% 이상,F010
QDBR-011,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,요주의 분류채권 2억원의 대손충당금 필요적립액 최소치는?,1억원,1천만원,4천만원,2천만원,4,요주의 10% 이상,근거 사실 F011를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,요주의 10% 이상,F011
QDBR-012,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,고정 분류채권 5억원의 대손충당금 필요적립액 최소치는?,5천만원,2억7천5백만원,1억원,5억원,3,고정 20% 이상,근거 사실 F012를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,고정 20% 이상,F012
QDBR-013,RESERVE_SOURCE_GROUNDED_V015,HIGH_CONFIDENCE_VARIANT,PRU-03,RESERVE,사례·적용형,4,회수의문 분류채권 2억원의 대손충당금 필요적립액 최소치는?,2억원,1억1천만원,4천만원,2천만원,2,회수의문 55% 이상,근거 사실 F013를 사례형으로 변환한 예비문항입니다.,경계값과 적용조건을 함께 확인하세요.,새마을금고 감독기준 별표 8 경영건전성 비율 산정기준,회수의문 55% 이상,F013
